Target	Standart	ThreeDice	Penalty	Bonus
1	0.01002	0	0.019945	8.9e-05
2	0.00985	0	0.019566	0.000297
3	0.009961	0.004586	0.019363	0.000509
4	0.00991	0.014114	0.019253	0.000707
5	0.009884	0.027846	0.019234	0.000887
6	0.010128	0.046174	0.019103	0.001146
7	0.01006	0.06952	0.018435	0.001254
8	0.010018	0.096839	0.018479	0.001503
9	0.009949	0.115928	0.018334	0.001678
10	0.010025	0.125178	0.018163	0.001934
11	0.010072	0.125383	0.017769	0.002068
12	0.009978	0.115506	0.017777	0.002222
13	0.010168	0.097478	0.017738	0.002583
14	0.009811	0.069617	0.017228	0.002692
15	0.009998	0.046328	0.017191	0.002901
16	0.010052	0.027927	0.016979	0.003048
17	0.009803	0.013863	0.016704	0.00341
18	0.010138	0.004622	0.01656	0.003507
19	0.00999	0	0.01625	0.00378
20	0.01013	0	0.016061	0.003962
21	0.010076	0	0.015907	0.004015
22	0.00991	0	0.015666	0.004353
23	0.009992	0	0.015365	0.004357
24	0.010028	0	0.015488	0.004725
25	0.010046	0	0.015136	0.004861
26	0.010083	0	0.015046	0.005142
27	0.009911	0	0.014763	0.005325
28	0.010028	0	0.014286	0.005482
29	0.00994	0	0.014392	0.005649
30	0.009996	0	0.014036	0.005807
31	0.009977	0	0.013843	0.006141
32	0.010094	0	0.013884	0.006298
33	0.009872	0	0.013669	0.006587
34	0.010148	0	0.01332	0.006851
35	0.010044	0	0.013134	0.006975
36	0.009997	0	0.012589	0.007132
37	0.009945	0	0.0128	0.007169
38	0.009932	0	0.012437	0.007612
39	0.010023	0	0.012432	0.00772
40	0.010035	0	0.012091	0.007832
41	0.009961	0	0.011984	0.008094
42	0.00979	0	0.011728	0.008235
43	0.010012	0	0.011631	0.008527
44	0.009997	0	0.011148	0.008651
45	0.010212	0	0.011217	0.008919
46	0.009895	0	0.010798	0.009038
47	0.009995	0	0.010881	0.00927
48	0.009884	0	0.010602	0.00946
49	0.009999	0	0.010206	0.009766
50	0.010145	0	0.010187	0.00995
51	0.010161	0	0.009935	0.010095
52	0.010074	0	0.00949	0.010174
53	0.010024	0	0.009318	0.010419
54	0.010091	0	0.009306	0.010649
55	0.010052	0	0.00904	0.010758
56	0.010115	0	0.008895	0.010984
57	0.00991	0	0.008724	0.011182
58	0.009817	0	0.008625	0.011511
59	0.010113	0	0.008336	0.011789
60	0.010004	0	0.00812	0.012043
61	0.009865	0	0.00786	0.012059
62	0.00995	0	0.007764	0.01228
63	0.010066	0	0.007664	0.012432
64	0.010068	0	0.007267	0.012791
65	0.009972	0	0.006867	0.013009
66	0.010011	0	0.006784	0.01307
67	0.010092	0	0.006671	0.013309
68	0.009836	0	0.006488	0.013355
69	0.009976	0	0.00638	0.013665
70	0.00997	0	0.006069	0.013969
71	0.009962	0	0.005889	0.013934
72	0.009986	0	0.005667	0.014527
73	0.010067	0	0.005582	0.014403
74	0.009908	0	0.00531	0.014953
75	0.01	0	0.005125	0.01483
76	0.010069	0	0.004907	0.014891
77	0.01016	0	0.004732	0.015351
78	0.010062	0	0.004443	0.015382
79	0.010062	0	0.004318	0.015765
80	0.009912	0	0.004081	0.015892
81	0.009953	0	0.003892	0.015976
82	0.010128	0	0.003648	0.016108
83	0.010027	0	0.003516	0.016587
84	0.010065	0	0.003299	0.016693
85	0.01001	0	0.00314	0.016937
86	0.010039	0	0.002884	0.017252
87	0.010078	0	0.002744	0.017507
88	0.009952	0	0.002492	0.017176
89	0.009724	0	0.002318	0.017758
90	0.00994	0	0.002085	0.017952
91	0.009722	0	0.001907	0.018163
92	0.009867	0	0.00167	0.018211
93	0.009887	0	0.001555	0.018677
94	0.009882	0	0.001264	0.018716
95	0.010035	0	0.001093	0.018838
96	0.010169	0	0.00089	0.019476
97	0.009928	0	0.000709	0.019054
98	0.010149	0	0.000503	0.019515
99	0.010162	0	0.000277	0.019692
